month,rain,temperature,grain height,graindeer,deers hunted
1,12.045447,3.172713,5.620601,1,1
2,1.770175,7.394532,5.628368,1,0
3,2.871065,9.841976,4.650103,2,3
4,22.156197,22.009048,5.650103,0,0
5,13.701884,26.740028,5.650103,1,1
6,2.814385,21.537582,5.650106,1,0
7,7.518967,29.381422,4.650106,2,1
8,7.251807,23.914917,3.650126,2,0
9,9.889568,15.248623,1.854858,3,1
10,5.360047,17.155632,0.000000,1,0
11,3.385496,3.774844,0.000000,0,3
12,10.273592,6.484767,10.805752,0,0
13,1.747400,2.787092,10.814826,1,2
14,6.074448,12.058610,12.109414,0,0
15,18.154446,9.797558,12.114018,1,1
16,21.212374,21.794731,12.114018,1,0
17,11.559290,23.638527,11.114064,2,3
18,16.628254,31.279675,12.114064,0,0
19,0.000000,26.023382,12.114064,1,1
20,0.000000,19.203241,12.114064,1,0
21,3.330174,20.167702,11.114100,2,0
22,10.175810,16.426918,9.199718,3,0
23,5.151388,9.423065,6.583851,4,1
24,0.000000,8.014929,3.584122,4,0
25,1.556904,7.433917,0.000000,3,2
26,4.249533,7.760491,0.000000,0,0
27,13.327654,13.509920,0.207458,0,1
28,15.900639,20.014700,1.207565,0,0
29,10.901154,22.698725,1.207735,1,1
30,7.688946,23.206524,1.207794,1,0
31,4.115914,29.448811,0.207794,2,1
32,0.000000,27.670996,0.000000,0,0
33,6.299422,12.886514,0.227341,0,3
34,9.883627,16.737837,3.294502,0,0
35,0.000000,9.972466,3.294654,1,3
36,5.265138,2.691089,6.160306,0,0
37,7.464097,-0.479272,8.317204,1,3
38,4.897844,10.880326,10.491326,0,0
39,16.104774,12.411690,10.519028,1,3
40,20.289108,13.129770,12.519048,0,0
41,19.503174,22.424753,12.519048,1,3
42,0.000000,20.828531,14.519048,0,0
43,8.969606,30.887354,14.519048,1,2
44,8.749999,22.721256,15.519201,0,0
45,0.000000,20.133549,15.519201,1,3
46,0.000000,9.356705,17.519388,0,0
47,0.000000,2.331956,17.519741,1,0
48,14.617161,6.734653,17.420486,2,0
49,2.322937,5.034228,15.445019,3,3
50,14.988850,8.552017,15.877466,1,0
51,21.322933,7.984403,14.877482,2,1
52,3.563772,17.351006,13.878130,2,0
53,20.083324,26.381437,11.878130,3,2
54,14.408351,23.507174,10.878139,2,0
55,4.231975,25.259510,8.878139,3,0
56,0.000000,22.647556,5.878139,4,0
57,2.391087,13.438030,1.880143,5,1
58,0.000000,7.387869,0.000000,3,0
59,8.213608,4.146724,3.522338,2,2
60,5.590540,4.034771,4.803098,1,0
61,18.084873,8.210127,3.811338,2,1
62,18.906078,7.725412,2.813618,2,0
63,3.761171,11.788448,0.845602,3,0
64,15.478361,23.306992,0.000000,2,0
65,2.253411,20.432709,0.000000,1,1
66,14.475684,21.625778,0.000085,0,0
67,14.776105,24.464718,0.000087,1,0
68,10.531465,17.968191,0.000000,0,0
69,0.409485,19.382154,0.000001,0,3
70,0.000000,13.523398,3.000029,0,0
71,2.949534,6.639771,3.053435,1,0
72,0.000000,7.670612,2.053727,2,0
